#       k             kp                  U           
   0.004159       1.331143         9.870873e-06      
   0.004159       1.379670         9.472455e-06      
   0.004159       1.427174         8.959462e-06      
   0.004159       1.473526         8.357591e-06      
   0.004159       1.518601         7.693852e-06      
   0.004159       1.562279         6.994563e-06      
   0.004159       1.604441         6.283723e-06      
   0.004159       1.644973         5.581907e-06      
   0.004159       1.683766         4.905681e-06      
   0.004159       1.720717         4.267493e-06      
   0.004159       1.755724         3.675920e-06      
   0.004159       1.788694         3.136153e-06      
   0.004159       1.819538         2.650589e-06      
   0.004159       1.848172         2.219441e-06      
   0.004159       1.874520         1.841297e-06      
   0.004159       1.898510         1.513583e-06      
   0.004159       1.920078         1.232925e-06      
   0.004159       1.939166         9.953912e-07      
   0.004159       1.955722         7.966303e-07      
   0.004159       1.969702         6.318758e-07      
   0.004159       1.981067         4.957824e-07      
   0.004159       1.989788         3.819192e-07      
   0.004159       1.995841         2.812725e-07      
   0.004159       1.999210         1.758591e-07      
   0.004159       2.003160         3.316889e-07      
   0.004159       2.016638         4.029097e-07      
   0.004159       2.040848         2.799053e-07      
   0.004159       2.075731         -3.321026e-08     
   0.004159       2.121193         -5.287888e-07     
   0.004159       2.177111         -1.186319e-06     
   0.004159       2.243335         -1.972786e-06     
   0.004159       2.319686         -2.845660e-06     
   0.004159       2.405959         -3.756686e-06     
   0.004159       2.501920         -4.655690e-06     
   0.004159       2.607312         -5.494297e-06     
   0.004159       2.721850         -6.229575e-06     
   0.004159       2.845225         -6.827135e-06     
   0.004159       2.977105         -7.263116e-06     
   0.004159       3.117134         -7.524940e-06     
   0.004159       3.264935         -7.611029e-06     
   0.004159       3.420109         -7.529683e-06     
   0.004159       3.582238         -7.297346e-06     
   0.004159       3.750884         -6.936480e-06     
   0.004159       3.925594         -6.473287e-06     
   0.004159       4.105897         -5.935520e-06     
   0.004159       4.291305         -5.350532e-06     
   0.004159       4.481320         -4.743716e-06     
   0.004159       4.675429         -4.137368e-06     
   0.004159       4.873108         -3.549998e-06     
   0.004159       5.073826         -2.996030e-06     
   0.004159       5.277040         -2.485851e-06     
   0.004159       5.482203         -2.026095e-06     
   0.004159       5.688763         -1.620096e-06     
   0.004159       5.896161         -1.268443e-06     
   0.004159       6.103839         -9.695497e-07     
   0.004159       6.311237         -7.202217e-07     
   0.004159       6.517797         -5.161641e-07     
   0.004159       6.722960         -3.524354e-07     
   0.004159       6.926174         -2.238137e-07     
   0.004159       7.126892         -1.250952e-07     
   0.004159       7.324571         -5.131536e-08     
   0.004159       7.518680         2.098180e-09      
   0.004159       7.708695         3.923072e-08      
   0.004159       7.894103         6.363456e-08      
   0.004159       8.074406         7.832195e-08      
   0.004159       8.249116         8.578688e-08      
   0.004159       8.417762         8.804666e-08      
   0.004159       8.579891         8.669625e-08      
   0.004159       8.735065         8.296665e-08      
   0.004159       8.882866         7.778366e-08      
   0.004159       9.022895         7.182557e-08      
   0.004159       9.154775         6.557093e-08      
   0.004159       9.278150         5.934617e-08      
   0.004159       9.392688         5.335771e-08      
   0.004159       9.498080         4.772662e-08      
   0.004159       9.594041         4.250787e-08      
   0.004159       9.680314         3.770971e-08      
   0.004159       9.756665         3.330693e-08      
   0.004159       9.822889         2.924592e-08      
   0.004159       9.878807         2.544748e-08      
   0.004159       9.924269         2.180138e-08      
   0.004159       9.959152         1.814374e-08      
   0.004159       9.983362         1.418584e-08      
   0.004159       9.996840         9.191985e-09      
   0.010212       0.000790         -4.154094e-10     
   0.010212       0.004159         -3.334255e-09     
   0.010212       0.010212         1.000000e+00      
   0.010212       0.018933         -2.196695e-08     
   0.010212       0.030298         -3.892282e-08     
   0.010212       0.044278         -6.075433e-08     
   0.010212       0.060834         -8.604616e-08     
   0.010212       0.079922         -1.118426e-07     
   0.010212       0.101490         -1.331160e-07     
   0.010212       0.125480         -1.422209e-07     
   0.010212       0.151828         -1.283995e-07     
   0.010212       0.180462         -7.741213e-08     
   0.010212       0.211306         2.862834e-08      
   0.010212       0.244276         2.111438e-07      
   0.010212       0.279283         4.946417e-07      
   0.010212       0.316234         9.058944e-07      
   0.010212       0.355027         1.472738e-06      
   0.010212       0.395559         2.222514e-06      
