#        q          single-nucleon  

     0.001185        5.371734e+03   
     0.006239        5.371733e+03   
     0.015318        5.371718e+03   
     0.028399        3.601902e+03   
     0.045447        2.270867e+03   
     0.066417        1.549126e+03   
     0.091251        1.052443e+03   
     0.119882        7.591156e+02   
     0.152235        5.432983e+02   
     0.188220        4.006234e+02   
     0.227742        2.968898e+02   
     0.270694        2.222704e+02   
     0.316959        1.692164e+02   
     0.366414        1.253212e+02   
     0.418925        9.511793e+01   
     0.474351        7.477242e+01   
     0.532541        5.754314e+01   
     0.593339        4.651772e+01   
     0.656582        3.699740e+01   
     0.722098        3.143903e+01   
     0.789711        2.418939e+01   
     0.859239        2.004545e+01   
     0.930495        1.641052e+01   
     1.003286        1.325133e+01   
     1.077416        1.053424e+01   
     1.152685        8.225224e+00   
     1.228890        6.289915e+00   
     1.305826        4.693832e+00   
     1.383286        3.402532e+00   
     1.461060        2.381856e+00   
     1.538940        1.283373e+00   
     1.616714        7.942862e-01   
     1.694174        2.538658e-01   
     1.771110        8.630902e-02   
     1.847315        8.353363e-02   
     1.922584        8.010066e-02   
     1.996714        7.616786e-02   
     2.069505        7.189881e-02   
     2.140761        6.744154e-02   
     2.210289        6.292663e-02   
     2.277902        5.846947e-02   
     2.343418        5.416139e-02   
     2.406661        5.007936e-02   
     2.467459        4.627273e-02   
     2.525649        4.276643e-02   
     2.581075        3.957259e-02   
     2.633586        3.669158e-02   
     2.683041        3.412125e-02   
     2.729306        3.184373e-02   
     2.772258        2.983862e-02   
     2.811780        2.808796e-02   
     2.847765        2.657349e-02   
     2.880118        2.527266e-02   
     2.908749        2.417138e-02   
     2.933583        2.325106e-02   
     2.954553        2.250064e-02   
     2.971601        2.190667e-02   
     2.984682        2.146112e-02   
     2.993761        2.115742e-02   
     2.998815        2.099008e-02   
     3.004739        2.079538e-02   
     3.024957        2.014380e-02   
     3.061273        1.902327e-02   
     3.113597        1.751489e-02   
     3.181789        1.572541e-02   
     3.265666        1.377270e-02   
     3.365002        1.177161e-02   
     3.479529        9.820504e-03   
     3.608938        7.996669e-03   
     3.752880        6.351839e-03   
     3.910968        4.917159e-03   
     4.082775        3.704883e-03   
     4.267838        2.712620e-03   
     4.465657        1.926552e-03   
     4.675701        1.324615e-03   
     4.897402        8.797070e-04   
     5.130163        5.628041e-04   
     5.373356        3.456873e-04   
     5.626327        2.029786e-04   
     5.888392        1.132813e-04   
     6.158845        5.962082e-05   
     6.436958        2.926937e-05   
     6.721980        1.319860e-05   
     7.013143        5.359866e-06   
     7.309662        1.936267e-06   
     7.610739        6.735311e-07   
     7.915560        3.398208e-07   
     8.223305        3.246490e-07   
     8.533144        3.655690e-07   
     8.844241        3.758676e-07   
     9.155759        3.454269e-07   
     9.466856        2.893855e-07   
     9.776695        2.252790e-07   
    10.084440        1.653042e-07   
    10.389261        1.155151e-07   
    10.690338        7.745625e-08   
    10.986857        5.011643e-08   
    11.278020        3.142520e-08   
    11.563042        1.916121e-08   
    11.841155        1.139308e-08   
    12.111608        6.623589e-09   
    12.373673        3.777163e-09   
    12.626644        2.123097e-09   
    12.869837        1.186570e-09   
    13.102598        6.700657e-10   
    13.324299        3.929736e-10   
    13.534343        2.487132e-10   
    13.732162        1.760513e-10   
    13.917225        1.407548e-10   
    14.089032        1.242415e-10   
    14.247120        1.167545e-10   
    14.391062        1.133743e-10   
    14.520471        1.117559e-10   
    14.634998        1.108775e-10   
    14.734334        1.103205e-10   
    14.818211        1.099035e-10   
    14.886403        1.095466e-10   
    14.938727        1.092335e-10   
    14.975043        1.090194e-10   
    14.995261        1.089488e-10   
