#        q              total             1 term        \delta U term    \delta U^2 term  

     0.001185        2.557558e+02      2.618150e+02     -6.094638e+00      3.546838e-02   
     0.006239        2.553905e+02      2.614447e+02     -6.089666e+00      3.546068e-02   
     0.015318        2.534766e+02      2.595044e+02     -6.063198e+00      3.541594e-02   
     0.028399        2.480166e+02      2.539687e+02     -5.987433e+00      3.528915e-02   
     0.045447        2.365894e+02      2.423812e+02     -5.826832e+00      3.501921e-02   
     0.066417        2.172676e+02      2.227815e+02     -5.548385e+00      3.454578e-02   
     0.091251        1.898213e+02      1.949228e+02     -5.135355e+00      3.382376e-02   
     0.119882        1.564885e+02      1.610549e+02     -4.599236e+00      3.283584e-02   
     0.152235        1.214477e+02      1.253963e+02     -3.980146e+00      3.158511e-02   
     0.188220        8.908740e+01      9.239092e+01     -3.333599e+00      3.007517e-02   
     0.227742        6.232420e+01      6.500798e+01     -2.712074e+00      2.829663e-02   
     0.270694        4.205717e+01      4.418308e+01     -2.152146e+00      2.622776e-02   
     0.316959        2.768732e+01      2.933508e+01     -1.671611e+00      2.385036e-02   
     0.366414        1.795605e+01      1.920826e+01     -1.273380e+00      2.116770e-02   
     0.418925        1.155904e+01      1.249221e+01     -9.513870e-01      1.821792e-02   
     0.474351        7.426668e+00      8.107141e+00     -6.955531e-01      1.508073e-02   
     0.532541        4.780319e+00      5.263414e+00     -4.949730e-01      1.187847e-02   
     0.593339        3.090197e+00      3.420996e+00     -3.395710e-01      8.772511e-03   
     0.656582        2.009479e+00      2.224273e+00     -2.207483e-01      5.953793e-03   
     0.722098        1.315896e+00      1.443740e+00     -1.314705e-01      3.626504e-03   
     0.789711        8.684769e-01      9.325821e-01     -6.608942e-02      1.984227e-03   
     0.859239        5.781201e-01      5.970047e-01     -2.006396e-02      1.179321e-03   
     0.930495        3.884686e-01      3.768415e-01      1.033821e-02      1.288894e-03   
     1.003286        2.637551e-01      2.331678e-01      2.830252e-02      2.284752e-03   
     1.077416        1.811688e-01      1.404856e-01      3.666601e-02      4.017290e-03   
     1.152685        1.260801e-01      8.183019e-02      3.802616e-02      6.223714e-03   
     1.228890        8.904935e-02      4.572831e-02      3.475513e-02      8.565909e-03   
     1.305826        6.394955e-02      2.432173e-02      2.893447e-02      1.069335e-02   
     1.383286        4.678010e-02      1.221363e-02      2.225151e-02      1.231496e-02   
     1.461060        3.491410e-02      5.744807e-03      1.591236e-02      1.325693e-02   
     1.538940        2.661730e-02      2.511571e-03      1.061901e-02      1.348672e-02   
     1.616714        2.073886e-02      1.013240e-03      6.628977e-03      1.309664e-02   
     1.694174        1.651120e-02      3.747114e-04      3.879369e-03      1.225712e-02   
     1.771110        1.341988e-02      1.262755e-04      2.133285e-03      1.116032e-02   
     1.847315        1.111834e-02      3.857128e-05      1.105198e-03      9.974570e-03   
     1.922584        9.371866e-03      1.062520e-05      5.408641e-04      8.820377e-03   
     1.996714        8.020577e-03      2.624886e-06      2.506012e-04      7.767351e-03   
     2.069505        6.954832e-03      5.770403e-07      1.100676e-04      6.844187e-03   
     2.140761        6.098866e-03      1.114047e-07      4.578226e-05      6.052973e-03   
     2.210289        5.399849e-03      1.842681e-08      1.793660e-05      5.381894e-03   
     2.277902        4.820544e-03      2.490887e-09      6.518861e-06      4.814022e-03   
     2.343418        4.334378e-03      2.582718e-10      2.109988e-06      4.332268e-03   
     2.406661        3.922116e-03      2.885319e-11      5.317707e-07      3.921584e-03   
     2.467459        3.569608e-03      1.309499e-11      3.022868e-08      3.569577e-03   
     2.525649        3.266261e-03      8.318177e-12     -9.196938e-08      3.266353e-03   
     2.581075        3.004007e-03      4.194389e-12     -9.603114e-08      3.004103e-03   
     2.633586        2.776580e-03      1.799490e-12     -7.250407e-08      2.776653e-03   
     2.683041        2.579039e-03      7.053569e-13     -4.897572e-08      2.579088e-03   
     2.729306        2.407418e-03      2.645386e-13     -3.156323e-08      2.407449e-03   
     2.772258        2.258497e-03      9.801281e-14     -1.999553e-08      2.258517e-03   
     2.811780        2.129632e-03      3.676325e-14     -1.267303e-08      2.129645e-03   
     2.847765        2.018636e-03      1.424622e-14     -8.134507e-09      2.018644e-03   
     2.880118        1.923692e-03      5.806437e-15     -5.338604e-09      1.923697e-03   
     2.908749        1.843290e-03      2.530213e-15     -3.611466e-09      1.843293e-03   
