   1      1s1/2   -58.09615930
   2      1p3/2   -49.86846603
   3      1p1/2   -48.83471844
   4      1d5/2   -39.92163425
   5      1d3/2   -37.52403776
   6      2s1/2   -35.98627208
   7      1f7/2   -29.13787943
   8      1f5/2   -24.65915297
   9      2p3/2   -23.01850315
  10      2p1/2   -21.34299550
  11      1g9/2   -18.17270823
  12      2d5/2   -11.63215499
  13      1g7/2   -11.45814235
  14      3s1/2    -9.04863289
  15      2d3/2    -8.81616666
  16     1h11/2    -7.69249852
  17      2f7/2    -1.53984478
  18      3p3/2     0.86839524
  19      1h9/2     1.62764960
  20      2f5/2     1.93879538
  21      3p1/2     1.97286609
  22     1i13/2     2.56525383
  23      2g9/2     7.87832808
  24      4s1/2     8.25024459
  25      3d5/2     8.77909753
  26      3d3/2     9.92174072
  27      2g7/2    11.89722886
  28     1j15/2    12.31472269
  29      4p3/2    13.26087756
  30     1i11/2    13.77839781
  31      4p1/2    14.21166706
  32      3f7/2    14.69095335
  33     2h11/2    16.68288343
  34      3f5/2    16.85958518
  35      5s1/2    18.03457659
  36      4d5/2    18.57127225
  37      4d3/2    19.95894604
