#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002340        1.181340e+08      1.181345e+08     -6.237533e+02      9.539376e+01   
     0.001185          0.012314        3.520512e+07      3.520542e+07     -3.730774e+02      7.926958e+01   
     0.001185          0.030196        1.517000e+07      1.517019e+07     -2.505662e+02      6.072767e+01   
     0.001185          0.055881        7.976228e+06      7.976364e+06     -1.827314e+02      4.710701e+01   
     0.001185          0.089217        4.688040e+06      4.688144e+06     -1.421358e+02      3.761067e+01   
     0.001185          0.130001        3.034422e+06      3.034506e+06     -1.143529e+02      3.072956e+01   
     0.001185          0.177990        2.091305e+06      2.091374e+06     -9.493338e+01      2.551852e+01   
     0.001185          0.232894        1.406247e+06      1.406303e+06     -7.784712e+01      2.156293e+01   
     0.001185          0.294384        1.025355e+06      1.025403e+06     -6.647378e+01      1.853830e+01   
     0.001185          0.362089        7.412420e+05      7.412823e+05     -5.626589e+01      1.595861e+01   
     0.001185          0.435603        5.818936e+05      5.819294e+05     -5.007699e+01      1.427119e+01   
     0.001185          0.514483        4.565992e+05      4.566309e+05     -4.435941e+01      1.265667e+01   
     0.001185          0.598254        3.546422e+05      3.546700e+05     -3.909447e+01      1.128116e+01   
     0.001185          0.686414        2.724070e+05      2.724317e+05     -3.426351e+01      9.532742e+00   
     0.001185          0.778432        2.376764e+05      2.376993e+05     -3.200494e+01      9.040252e+00   
     0.001185          0.873754        1.791929e+05      1.792131e+05     -2.778996e+01      7.623805e+00   
     0.001185          0.971807        1.547937e+05      1.548121e+05     -2.582888e+01      7.418653e+00   
     0.001185          1.072002        1.142261e+05      1.142418e+05     -2.218787e+01      6.489354e+00   
     0.001185          1.173736        9.753810e+04      9.755295e+04     -2.050328e+01      5.657028e+00   
     0.001185          1.276397        8.293343e+04      8.294714e+04     -1.890618e+01      5.199742e+00   
     0.001185          1.379367        7.019844e+04      7.021098e+04     -1.739424e+01      4.859027e+00   
     0.001185          1.482028        5.001560e+04      5.002592e+04     -1.461653e+01      4.299489e+00   
     0.001185          1.583761        4.132404e+04      4.133346e+04     -1.334609e+01      3.921538e+00   
     0.001185          1.683956        3.425636e+04      3.426507e+04     -1.215147e+01      3.440354e+00   
     0.001185          1.782010        2.822600e+04      2.823402e+04     -1.103035e+01      3.004977e+00   
     0.001185          1.877332        2.310760e+04      2.311478e+04     -9.980400e+00      2.799152e+00   
     0.001185          1.969349        1.878716e+04      1.879356e+04     -8.999276e+00      2.602898e+00   
     0.001185          2.057509        1.273129e+04      1.273642e+04     -7.234186e+00      2.108053e+00   
     0.001185          2.141281        9.636137e+03      9.640827e+03     -6.445553e+00      1.755405e+00   
     0.001185          2.220161        7.578820e+03      7.583014e+03     -5.716418e+00      1.522138e+00   
     0.001185          2.293675        5.901430e+03      5.905016e+03     -5.044448e+00      1.458093e+00   
     0.001185          2.361380        4.545313e+03      4.548553e+03     -4.427308e+00      1.186850e+00   
     0.001185          2.422870        2.598980e+03      2.601438e+03     -3.348188e+00      8.895366e-01   
     0.001185          2.477774        1.924788e+03      1.926831e+03     -2.881541e+00      8.385361e-01   
     0.001185          2.525763        1.402879e+03      1.404762e+03     -2.460393e+00      5.771609e-01   
     0.001185          2.566547        7.055984e+02      7.068266e+02     -1.745258e+00      5.170638e-01   
     0.001185          2.599882        4.844925e+02      4.856161e+02     -1.446604e+00      3.229932e-01   
     0.001185          2.625568        2.271923e+02      2.279033e+02     -9.539840e-01      2.430306e-01   
     0.001185          2.643449        1.112217e+02      1.118108e+02     -6.941365e-01      1.050769e-01   
     0.001185          2.653424        1.654730e+01      1.674480e+01     -2.072330e-01      9.727869e-03   
     0.006239          0.002340        3.478399e+07      3.478427e+07     -2.952208e+02      2.220388e+01   
     0.006239          0.012314        2.967048e+07      2.967070e+07     -2.413860e+02      1.983136e+01   
     0.006239          0.030196        1.472601e+07      1.472618e+07     -1.816481e+02      1.707046e+01   
     0.006239          0.055881        7.914144e+06      7.914268e+06     -1.382492e+02      1.415841e+01   
     0.006239          0.089217        4.715190e+06      4.715287e+06     -1.089125e+02      1.166963e+01   
     0.006239          0.130001        3.014927e+06      3.015005e+06     -8.808941e+01      9.700565e+00   
     0.006239          0.177990        2.031306e+06      2.031370e+06     -7.261878e+01      8.169284e+00   
     0.006239          0.232894        1.441075e+06      1.441130e+06     -6.175073e+01      7.002113e+00   
     0.006239          0.294384        1.041108e+06      1.041155e+06     -5.281823e+01      6.026126e+00   
     0.006239          0.362089        7.698268e+05      7.698663e+05     -4.470732e+01      5.198832e+00   
     0.006239          0.435603        5.818942e+05      5.819294e+05     -3.978979e+01      4.541014e+00   
     0.006239          0.514483        4.565997e+05      4.566309e+05     -3.524676e+01      4.006388e+00   
     0.006239          0.598254        3.546425e+05      3.546700e+05     -3.106338e+01      3.543002e+00   
     0.006239          0.686414        2.729434e+05      2.729674e+05     -2.722484e+01      3.284138e+00   
     0.006239          0.778432        2.336676e+05      2.336898e+05     -2.500128e+01      2.807553e+00   
     0.006239          0.873754        1.791937e+05      1.792131e+05     -2.208113e+01      2.700965e+00   
     0.006239          0.971807        1.547939e+05      1.548121e+05     -2.052291e+01      2.295392e+00   
     0.006239          1.072002        1.172036e+05      1.172192e+05     -1.762987e+01      2.027807e+00   
     0.006239          1.173736        9.753864e+04      9.755295e+04     -1.629134e+01      1.983922e+00   
     0.006239          1.276397        8.293393e+04      8.294714e+04     -1.502233e+01      1.812897e+00   
     0.006239          1.379367        7.019872e+04      7.021098e+04     -1.382099e+01      1.564581e+00   
     0.006239          1.482028        5.333926e+04      5.334954e+04     -1.161389e+01      1.335885e+00   
     0.006239          1.583761        4.132408e+04      4.133346e+04     -1.060443e+01      1.221703e+00   
     0.006239          1.683956        3.425657e+04      3.426507e+04     -9.655224e+00      1.156549e+00   
     0.006239          1.782010        2.822635e+04      2.823402e+04     -8.764414e+00      1.085401e+00   
     0.006239          1.877332        2.310778e+04      2.311478e+04     -7.930150e+00      9.348978e-01   
     0.006239          1.969349        1.876099e+04      1.876737e+04     -7.140610e+00      7.619197e-01   
     0.006239          2.057509        1.340409e+04      1.340917e+04     -5.748084e+00      6.672082e-01   
     0.006239          2.141281        9.636337e+03      9.640827e+03     -5.121458e+00      6.312246e-01   
     0.006239          2.220161        7.579034e+03      7.583014e+03     -4.542108e+00      5.617957e-01   
     0.006239          2.293675        5.901439e+03      5.905016e+03     -4.008179e+00      4.309440e-01   
     0.006239          2.361380        4.171196e+03      4.174072e+03     -3.228195e+00      3.523225e-01   
     0.006239          2.422870        2.718098e+03      2.720434e+03     -2.660378e+00      3.249012e-01   
     0.006239          2.477774        1.924777e+03      1.926831e+03     -2.289593e+00      2.358270e-01   
     0.006239          2.525763        1.276661e+03      1.278231e+03     -1.778871e+00      2.083648e-01   
     0.006239          2.566547        7.779478e+02      7.792027e+02     -1.386733e+00      1.318573e-01   
     0.006239          2.599882        4.470670e+02      4.480133e+02     -1.060427e+00      1.141038e-01   
     0.006239          2.625568        2.468016e+02      2.474856e+02     -7.347772e-01      5.081147e-02   
