#        A               a_2        

        4              2.507356     
        9              3.373632     
        12             3.530256     
        16             3.387223     
        27             4.330767     
        40             3.994647     
        48             4.190465     
        56             4.435304     
        63             4.323426     
       197             4.661697     
       208             4.658919     
