#        A               a_2        

        4              2.442309     
        9              3.168653     
        12             3.256928     
        16             3.185409     
        27             3.927444     
        40             3.671766     
        48             3.803619     
        56             4.001629     
        63             3.904477     
       197             4.187900     
       208             4.173713     
