#        q          3S1-3S1 init.     3S1-3D1 init.     3D1-3D1 init.      3S1-3S1 SRG       3S1-3D1 SRG       3D1-3D1 SRG    

     0.001185         100.000000         0.000000          0.000000         99.665895          0.333825          0.000280     
     0.006239         100.000000         0.000000          0.000000         99.665670          0.334050          0.000280     
     0.015318         99.999999          0.000000          0.000001         99.664507          0.335210          0.000283     
     0.028399         99.999984          0.000000          0.000016         99.661110          0.338586          0.000304     
     0.045447         99.999893          0.000000          0.000107         99.653593          0.346000          0.000407     
     0.066417         99.999512          0.000000          0.000488         99.639428          0.359759          0.000813     
     0.091251         99.998263          0.000000          0.001737         99.615330          0.382566          0.002104     
     0.119882         99.994837          0.000000          0.005163         99.577019          0.417384          0.005597     
     0.152235         99.986624          0.000000          0.013376         99.518866          0.467226          0.013908     
     0.188220         99.968877          0.000000          0.031123         99.433343          0.534881          0.031776     
     0.227742         99.933627          0.000000          0.066373         99.310351          0.622535          0.067114     
     0.270694         99.868362          0.000000          0.131638         99.136462          0.731299          0.132240     
     0.316959         99.754493          0.000000          0.245507         98.894239          0.860575          0.245186     
     0.366414         99.565703          0.000000          0.434297         98.561975          1.007163          0.430862     
     0.418925         99.266319          0.000000          0.733681         98.114453          1.163878          0.721668     
     0.474351         98.809869          0.000000          1.190131         97.525651          1.317300          1.157048     
     0.532541         98.138025          0.000000          1.861975         96.774631          1.444065          1.781304     
     0.593339         97.180229          0.000000          2.819771         95.856021          1.504933          2.639047     
     0.656582         95.854362          0.000000          4.145638         94.796150          1.435848          3.768002     
     0.722098         94.068964          0.000000          5.931036         93.674974          1.135301          5.189725     
     0.789711         91.727623          0.000000          8.272377         92.652515          0.447687          6.899797     
     0.859239         88.736194          0.000000         11.263806         90.447007          0.842897          8.710096     
     0.930495         85.013297          0.000000         14.986703         86.727824          2.926675         10.345500     
     1.003286         80.503958          0.000000         19.496042         82.459715          5.949973         11.590312     
     1.077416         75.195169          0.000000         24.804831         77.950466          9.900096         12.149438     
     1.152685         69.130639          0.000000         30.869361         73.723465         14.476219         11.800316     
     1.228890         62.420581          0.000000         37.579419         70.492365         19.013497         10.494138     
     1.305826         55.242033          0.000000         44.757967         69.038637         22.542929          8.418434     
     1.383286         47.826630          0.000000         52.173370         69.993142         24.036626          5.970232     
     1.461060         40.436294          0.000000         59.563706         73.589240         22.780957          3.629803     
     1.538940         33.331547          0.000000         66.668453         79.508445         18.702272          1.789282     
     1.616714         26.740144          0.000000         73.259856         86.922653         12.449276          0.628071     
     1.694174         20.833633          0.000000         79.166367         94.737185          5.164353          0.098462     
     1.771110         15.716350          0.000000         84.283650         98.130661          1.859557          0.009781     
     1.847315         11.426994          0.000000         88.573006         93.041947          6.832468          0.125586     
     1.922584          7.949467          0.000000         92.050533         89.836798          9.890956          0.272246     
     1.996714          5.228241          0.000000         94.771759         87.983122         11.630922          0.385956     
     2.069505          3.184050          0.000000         96.815950         87.059272         12.485086          0.455643     
     2.140761          1.727189          0.000000         98.272811         86.753048         12.758161          0.488791     
     2.210289          0.767290          0.000000         99.232710         86.840740         12.662599          0.496661     
     2.277902          0.219577          0.000000         99.780423         87.166068         12.344948          0.488985     
     2.343418          0.008209          0.000000         99.991791         87.622679         11.904537          0.472784     
     2.406661          0.067514          0.000000         99.932486         88.140341         11.406989          0.452670     
     2.467459          0.341832          0.000000         99.658168         88.674357         10.894170          0.431472     
     2.525649          0.784581          0.000000         99.215419         89.197655         10.391526          0.410819     
     2.581075          1.356930          0.000000         98.643070         89.694970          9.913472          0.391558     
     2.633586          2.026367          0.000000         97.973633         90.158646          9.467297          0.374058     
     2.683041          2.765318          0.000000         97.234682         90.585669          9.055925          0.358407     
     2.729306          3.549904          0.000000         96.450096         90.975648          8.679809          0.344543     
     2.772258          4.358906          0.000000         95.641094         91.329493          8.338172          0.332335     
     2.811780          5.172929          0.000000         94.827071         91.648597          8.029769          0.321634     
     2.847765          5.973807          0.000000         94.026193         91.934373          7.753333          0.312294     
     2.880118          6.744229          0.000000         93.255771         92.188006          7.507803          0.304191     
     2.908749          7.467580          0.000000         92.532420         92.410364          7.292411          0.297225     
     2.933583          8.127992          0.000000         91.872008         92.601990          7.106691          0.291319     
     2.954553          8.710558          0.000000         91.289442         92.763142          6.950440          0.286418     
     2.971601          9.201689          0.000000         90.798311         92.893865          6.823653          0.282483     
     2.984682          9.589550          0.000000         90.410450         92.994066          6.726444          0.279490     
     2.993761          9.864527          0.000000         90.135473         93.063594          6.658982          0.277425     
     2.998815         10.019704          0.000000         89.980296         93.102313          6.621410          0.276278     
     3.004739         10.203516          0.000000         89.796484         93.147584          6.577473          0.274943     
     3.024957         10.846924          0.000000         89.153076         93.302331          6.427266          0.270403     
     3.061273         12.068366          0.000000         87.931634         93.581317          6.156374          0.262309     
     3.113597         13.990989          0.000000         86.009011         93.987409          5.761899          0.250692     
     3.181789         16.829258          0.000000         83.170742         94.529330          5.235296          0.235374     
     3.265666         20.950860          0.000000         79.049140         95.227096          4.557217          0.215687     
     3.365002         27.000288          0.000000         72.999712         96.118448          3.691482          0.190070     
     3.479529         36.130922          0.000000         63.869078         97.259857          2.584638          0.155505     
     3.608938         50.320683          0.000000         49.679317         98.681663          1.211015          0.107323     
     3.752880         71.832418          0.000000         28.167582         99.822895          0.132965          0.044140     
     3.910968         95.748662          0.000000          4.251338         99.804746          0.195035          0.000219     
     4.082775         92.819160          0.000000          7.180840         95.759805          4.177947          0.062248     
     4.267838         56.394870          0.000000         43.605130         91.994056          7.836575          0.169369     
     4.465657         26.723890          0.000000         73.276110         90.970014          8.810393          0.219593     
     4.675701         11.923223          0.000000         88.076777         91.229994          8.542732          0.227273     
     4.897402          5.181853          0.000000         94.818147         91.879493          7.905441          0.215066     
     5.130163          2.114557          0.000000         97.885443         92.657350          7.150534          0.192116     
     5.373356          0.742934          0.000000         99.257066         93.523404          6.315507          0.161088     
     5.626327          0.183768          0.000000         99.816232         94.524033          5.353931          0.122037     
     5.888392          0.014736          0.000000         99.985264         95.789789          4.136044          0.074167     
     6.158845          0.002497          0.000000         99.997503         97.675655          2.303893          0.020452     
     6.436958          0.003376          0.000000         99.996624         98.319931          1.653568          0.026501     
     6.721980          6.214154          0.000000         93.785846         71.604843         24.483967          3.911190     
     7.013143          9.567892          0.000000         90.432108         86.056200         12.263808          1.679992     
     7.309662          5.409032          0.000000         94.590968         92.699618          6.832768          0.467615     
     7.610739          5.385722          0.000000         94.614278         95.640170          4.165898          0.193932     
     7.915560          6.228039          0.000000         93.771961         98.092371          1.852118          0.055512     
     8.223305          7.922069          0.000000         92.077931         99.133776          0.864067          0.002157     
     8.533144         12.065505          0.000000         87.934495         95.223663          4.444518          0.331819     
     8.844241         61.644216          0.000000         38.355784         62.516069         27.085789         10.398142     
     9.155759          1.240051          0.000000         98.759949         82.833173         15.518694          1.648133     
     9.466856          4.984844          0.000000         95.015156         93.662500          5.942724          0.394776     
     9.776695          7.351379          0.000000         92.648621         97.991134          1.921663          0.087203     
    10.084440          9.178024          0.000000         90.821976         99.237054          0.760517          0.002429     
    10.389261         10.319870          0.000000         89.680130         97.175668          2.747659          0.076673     
    10.690338          9.722053          0.000000         90.277947         95.221295          4.404147          0.374558     
    10.986857          4.815919          0.000000         95.184081         92.010707          6.855049          1.134244     
    11.278020          2.738041          0.000000         97.261959         81.780685         15.618823          2.600493     
    11.563042         66.099187          0.000000         33.900813         80.753523         17.994637          1.251840     
    11.841155         90.707574          0.000000          9.292426         97.684366          2.045643          0.269990     
    12.111608         87.709075          0.000000         12.290925         90.457300          8.983453          0.559247     
    12.373673         73.128523          0.000000         26.871477         84.354681         14.803880          0.841439     
    12.626644         50.305739          0.000000         49.694261         82.169052         16.924331          0.906617     
    12.869837         27.249716          0.000000         72.750284         83.101947         16.113760          0.784293     
    13.102598         10.598201          0.000000         89.401799         86.181802         13.259959          0.558240     
    13.324299          1.997469          0.000000         98.002531         90.409914          9.277257          0.312829     
    13.534343          0.046835          0.000000         99.953165         94.807368          5.075574          0.117058     
    13.732162          2.588020          0.000000         97.411980         98.496958          1.489283          0.013759     
    13.917225          7.611146          0.000000         92.388854         99.084489          0.907066          0.008445     
    14.089032         13.470363          0.000000         86.529637         97.951337          1.978617          0.070046     
    14.247120         18.965878          0.000000         81.034122         97.731507          2.111215          0.157278     
    14.391062         23.354341          0.000000         76.645659         98.038975          1.722788          0.238237     
    14.520471         26.301852          0.000000         73.698148         98.568362          1.137534          0.294105     
    14.634998         27.809117          0.000000         72.190883         99.126713          0.554040          0.319247     
    14.734334         28.113769          0.000000         71.886231         99.624351          0.057555          0.318094     
    14.818211         27.581211          0.000000         72.418789         99.365814          0.336109          0.298077     
    14.886403         26.605197          0.000000         73.394803         99.088600          0.639793          0.271606     
    14.938727         25.535234          0.000000         74.464766         98.882907          0.870588          0.246505     
