#        q          single-nucleon  

     0.000790        5.373399e+03   
     0.004159        5.373399e+03   
     0.010212        5.373399e+03   
     0.018933        5.135789e+03   
     0.030298        3.421939e+03   
     0.044278        2.364359e+03   
     0.060834        1.733049e+03   
     0.079922        1.255747e+03   
     0.101490        9.491986e+02   
     0.125480        7.179086e+02   
     0.151828        5.449166e+02   
     0.180462        4.314606e+02   
     0.211306        3.349586e+02   
     0.244276        2.646967e+02   
     0.279283        2.142667e+02   
     0.316234        1.706867e+02   
     0.355027        1.334568e+02   
     0.395559        1.079088e+02   
     0.437721        9.105085e+01   
     0.481399        7.143891e+01   
     0.526474        5.873896e+01   
     0.572826        5.116900e+01   
     0.620330        4.107906e+01   
     0.668857        3.514911e+01   
     0.718277        2.981916e+01   
     0.768456        2.505721e+01   
     0.819260        2.083127e+01   
     0.870551        1.710933e+01   
     0.922191        1.542736e+01   
     0.974040        1.240143e+01   
     1.025960        1.104947e+01   
     1.077809        9.799503e+00   
     1.129449        8.647539e+00   
     1.180740        7.589581e+00   
     1.231544        6.621617e+00   
     1.281723        5.739657e+00   
     1.331143        4.939694e+00   
     1.379670        4.217733e+00   
     1.427174        3.569770e+00   
     1.473526        2.991804e+00   
     1.518601        2.991810e+00   
     1.562279        2.479844e+00   
     1.604441        2.029876e+00   
     1.644973        1.637905e+00   
     1.683766        1.299932e+00   
     1.720717        7.099781e-01   
     1.755724        3.323615e-05   
     1.788694        3.528555e-05   
     1.819538        3.724593e-05   
     1.848172        3.910985e-05   
     1.874520        4.085736e-05   
     1.898510        4.249127e-05   
     1.920078        4.395889e-05   
     1.939166        4.529555e-05   
     1.955722        4.646059e-05   
     1.969702        4.745814e-05   
     1.981067        4.827464e-05   
     1.989788        4.890508e-05   
     1.995841        4.934427e-05   
     1.999210        4.958919e-05   
     2.003160        4.987527e-05   
     2.016638        5.084418e-05   
     2.040848        5.257057e-05   
     2.075731        5.502206e-05   
     2.121193        5.814587e-05   
     2.177111        6.183483e-05   
     2.243335        6.590681e-05   
     2.319686        7.006913e-05   
     2.405959        7.389294e-05   
     2.501920        7.680113e-05   
     2.607312        7.809030e-05   
     2.721850        7.700433e-05   
     2.845225        7.287161e-05   
     2.977105        6.530337e-05   
     3.117134        5.442191e-05   
     3.264935        4.105631e-05   
     3.420109        2.681799e-05   
     3.582238        1.396928e-05   
     3.750884        5.027259e-06   
     3.925594        2.125860e-06   
     4.105897        6.274336e-06   
     4.291305        1.676743e-05   
     4.481320        3.105739e-05   
     4.675429        4.529487e-05   
     4.873108        5.547090e-05   
     5.073826        5.875873e-05   
     5.277040        5.447534e-05   
     5.482203        4.421115e-05   
     5.688763        3.107303e-05   
     5.896161        1.842354e-05   
     6.103839        8.715126e-06   
     6.311237        2.900761e-06   
     6.517797        5.495863e-07   
     6.722960        4.417024e-07   
     6.926174        1.256033e-06   
     7.126892        2.040812e-06   
     7.324571        2.359725e-06   
     7.518680        2.188915e-06   
     7.708695        1.714940e-06   
     7.894103        1.157692e-06   
     8.074406        6.727847e-07   
     8.249116        3.286405e-07   
     8.417762        1.267272e-07   
     8.579891        3.400495e-08   
     8.735065        9.354308e-09   
     8.882866        1.834800e-08   
     9.022895        3.811436e-08   
     9.154775        5.640183e-08   
     9.278150        6.843434e-08   
     9.392688        7.371122e-08   
     9.498080        7.363672e-08   
     9.594041        7.009576e-08   
     9.680314        6.476328e-08   
     9.756665        5.887174e-08   
     9.822889        5.321389e-08   
     9.878807        4.823794e-08   
     9.924269        4.432678e-08   
     9.959152        4.199487e-08   
     9.983362        4.108525e-08   
     9.996840        4.095683e-08   
