#        q                pn        

     0.001185        5.309787e+03   
     0.006239        5.309707e+03   
     0.015318        5.309700e+03   
     0.028399        3.560917e+03   
     0.045447        2.290739e+03   
     0.066417        1.532493e+03   
     0.091251        1.068773e+03   
     0.119882        7.518855e+02   
     0.152235        5.386183e+02   
     0.188220        3.976253e+02   
     0.227742        2.950957e+02   
     0.270694        2.213231e+02   
     0.316959        1.688528e+02   
     0.366414        1.254091e+02   
     0.418925        9.549136e+01   
     0.474351        7.531706e+01   
     0.532541        5.820388e+01   
     0.593339        4.389957e+01   
     0.656582        3.486779e+01   
     0.722098        2.959782e+01   
     0.789711        2.272384e+01   
     0.859239        1.879288e+01   
     0.930495        1.534269e+01   
     1.003286        1.234231e+01   
     1.077416        9.760817e+00   
     1.152685        8.620871e+00   
     1.228890        6.609362e+00   
     1.305826        4.939310e+00   
     1.383286        3.579390e+00   
     1.461060        3.008692e+00   
     1.538940        2.054661e+00   
     1.616714        1.331512e+00   
     1.694174        6.077105e-01   
     1.771110        2.243101e-01   
     1.847315        4.747333e-02   
     1.922584        4.713761e-02   
     1.996714        4.765704e-02   
     2.069505        4.708235e-02   
     2.140761        4.554132e-02   
     2.210289        4.321942e-02   
     2.277902        4.033142e-02   
     2.343418        3.709425e-02   
     2.406661        3.370546e-02   
     2.467459        3.032931e-02   
     2.525649        2.709072e-02   
     2.581075        2.407540e-02   
     2.633586        2.133441e-02   
     2.683041        1.889083e-02   
     2.729306        1.674705e-02   
     2.772258        1.489144e-02   
     2.811780        1.330395e-02   
     2.847765        1.196034e-02   
     2.880118        1.083526e-02   
     2.908749        9.904273e-03   
     2.933583        9.145065e-03   
     2.954553        8.538169e-03   
     2.971601        8.067248e-03   
     2.984682        7.719195e-03   
     2.993761        7.484085e-03   
     2.998815        7.355053e-03   
     3.004739        7.210268e-03   
     3.024957        6.727626e-03   
     3.061273        5.919640e-03   
     3.113597        4.889160e-03   
     3.181789        3.764835e-03   
     3.265666        2.677995e-03   
     3.365002        1.737935e-03   
     3.479529        1.012915e-03   
     3.608938        5.228529e-04   
     3.752880        2.448657e-04   
     3.910968        1.278746e-04   
     4.082775        1.102743e-04   
     4.267838        1.354403e-04   
     4.465657        1.620483e-04   
     4.675701        1.682057e-04   
     4.897402        1.498012e-04   
     5.130163        1.146454e-04   
     5.373356        7.497032e-05   
     5.626327        4.108349e-05   
     5.888392        1.807118e-05   
     6.158845        5.811334e-06   
     6.436958        1.108531e-06   
     6.721980        2.156779e-07   
     7.013143        4.584027e-07   
     7.309662        6.183218e-07   
     7.610739        4.915120e-07   
     7.915560        2.603276e-07   
     8.223305        9.006114e-08   
     8.533144        1.870319e-08   
     8.844241        7.934959e-09   
     9.155759        1.362833e-08   
     9.466856        1.530444e-08   
     9.776695        1.146662e-08   
    10.084440        6.413144e-09   
    10.389261        2.860020e-09   
    10.690338        1.078507e-09   
    10.986857        3.664719e-10   
    11.278020        1.173648e-10   
    11.563042        4.369744e-11   
    11.841155        4.124036e-11   
    12.111608        6.351352e-11   
    12.373673        8.200268e-11   
    12.626644        8.436943e-11   
    12.869837        7.245209e-11   
    13.102598        5.444678e-11   
    13.324299        3.740299e-11   
    13.534343        2.459832e-11   
    13.732162        1.631569e-11   
    13.917225        1.140164e-11   
    14.089032        8.519231e-12   
    14.247120        6.719367e-12   
    14.391062        5.477794e-12   
    14.520471        4.546788e-12   
    14.634998        3.821192e-12   
    14.734334        3.256507e-12   
    14.818211        2.827935e-12   
    14.886403        2.514790e-12   
    14.938727        2.297529e-12   
    14.975043        2.159120e-12   
    14.995261        2.175300e-12   
