#        q                pn        

     0.001185        5.238228e+03   
     0.006239        5.237977e+03   
     0.015318        5.237985e+03   
     0.028399        3.512905e+03   
     0.045447        2.259955e+03   
     0.066417        1.512008e+03   
     0.091251        1.054599e+03   
     0.119882        7.420282e+02   
     0.152235        5.316679e+02   
     0.188220        3.925997e+02   
     0.227742        2.914652e+02   
     0.270694        2.186917e+02   
     0.316959        1.669275e+02   
     0.366414        1.240528e+02   
     0.418925        9.452072e+01   
     0.474351        7.460287e+01   
     0.532541        5.769548e+01   
     0.593339        4.685391e+01   
     0.656582        3.745901e+01   
     0.722098        3.196099e+01   
     0.789711        2.474724e+01   
     0.859239        2.060653e+01   
     0.930495        1.695662e+01   
     1.003286        1.376807e+01   
     1.077416        1.101106e+01   
     1.152685        8.655140e+00   
     1.228890        6.669107e+00   
     1.305826        5.021046e+00   
     1.383286        3.678533e+00   
     1.461060        2.608968e+00   
     1.538940        1.443835e+00   
     1.616714        9.188605e-01   
     1.694174        3.305231e-01   
     1.771110        1.413051e-01   
     1.847315        1.297817e-01   
     1.922584        1.163673e-01   
     1.996714        1.023309e-01   
     2.069505        8.864973e-02   
     2.140761        7.596930e-02   
     2.210289        6.463782e-02   
     2.277902        5.477590e-02   
     2.343418        4.635267e-02   
     2.406661        3.925073e-02   
     2.467459        3.331371e-02   
     2.525649        2.837686e-02   
     2.581075        2.428437e-02   
     2.633586        2.089744e-02   
     2.683041        1.809685e-02   
     2.729306        1.578240e-02   
     2.772258        1.387111e-02   
     2.811780        1.229481e-02   
     2.847765        1.099784e-02   
     2.880118        9.934979e-03   
     2.908749        9.069669e-03   
     2.933583        8.372553e-03   
     2.954553        7.820289e-03   
     2.971601        7.394607e-03   
     2.984682        7.081574e-03   
     2.993761        6.871027e-03   
     2.998815        6.756137e-03   
     3.004739        6.623644e-03   
     3.024957        6.187922e-03   
     3.061273        5.466252e-03   
     3.113597        4.552627e-03   
     3.181789        3.558344e-03   
     3.265666        2.592212e-03   
     3.365002        1.743401e-03   
     3.479529        1.069854e-03   
     3.608938        5.936928e-04   
     3.752880        3.036119e-04   
     3.910968        1.631234e-04   
     4.082775        1.225302e-04   
     4.267838        1.317634e-04   
     4.465657        1.509941e-04   
     4.675701        1.565781e-04   
     4.897402        1.413761e-04   
     5.130163        1.103657e-04   
     5.373356        7.394323e-05   
     5.626327        4.175503e-05   
     5.888392        1.911419e-05   
     6.158845        6.519510e-06   
     6.436958        1.351005e-06   
     6.721980        1.679902e-07   
     7.013143        3.367566e-07   
     7.309662        5.424146e-07   
     7.610739        4.775787e-07   
     7.915560        2.761813e-07   
     8.223305        1.053233e-07   
     8.533144        2.302902e-08   
     8.844241        5.099028e-09   
     9.155759        1.001651e-08   
     9.466856        1.389258e-08   
     9.776695        1.192300e-08   
    10.084440        7.396441e-09   
    10.389261        3.540406e-09   
    10.690338        1.339166e-09   
    10.986857        4.048547e-10   
    11.278020        1.089778e-10   
    11.563042        4.987726e-11   
    11.841155        5.510390e-11   
    12.111608        6.823484e-11   
    12.373673        7.386632e-11   
    12.626644        6.973300e-11   
    12.869837        5.877815e-11   
    13.102598        4.558028e-11   
    13.324299        3.357103e-11   
    13.534343        2.424081e-11   
    13.732162        1.767207e-11   
    13.917225        1.323954e-11   
    14.089032        1.021155e-11   
    14.247120        8.059364e-12   
    14.391062        6.475245e-12   
    14.520471        5.287065e-12   
    14.634998        4.392554e-12   
    14.734334        3.724882e-12   
    14.818211        3.235569e-12   
    14.886403        2.886733e-12   
    14.938727        2.648369e-12   
    14.975043        2.497799e-12   
    14.995261        2.442901e-12   
