#        q              total             1 term        \delta U term    \delta U^2 term  

     0.000790        2.598472e+02      2.660900e+02     -6.279863e+00      3.705202e-02   
     0.004159        2.596805e+02      2.659209e+02     -6.277458e+00      3.704718e-02   
     0.010212        2.587970e+02      2.650245e+02     -6.264548e+00      3.701975e-02   
     0.018933        2.562463e+02      2.624365e+02     -6.227208e+00      3.694048e-02   
     0.030298        2.507615e+02      2.568714e+02     -6.146642e+00      3.677056e-02   
     0.044278        2.409929e+02      2.469582e+02     -6.001740e+00      3.646457e-02   
     0.060834        2.258916e+02      2.316296e+02     -5.773981e+00      3.598302e-02   
     0.079922        2.051744e+02      2.105920e+02     -5.452902e+00      3.529848e-02   
     0.101490        1.796668e+02      1.846738e+02     -5.041458e+00      3.440754e-02   
     0.125480        1.512704e+02      1.557942e+02     -4.557120e+00      3.332620e-02   
     0.151828        1.224762e+02      1.264725e+02     -4.028369e+00      3.208030e-02   
     0.180462        9.563890e+01      9.909578e+01     -3.487569e+00      3.069056e-02   
     0.211306        7.239210e+01      7.532678e+01     -2.963849e+00      2.916410e-02   
     0.244276        5.344530e+01      5.589639e+01     -2.478583e+00      2.749389e-02   
     0.279283        3.873237e+01      4.075094e+01     -2.044244e+00      2.566608e-02   
     0.316234        2.771833e+01      2.936028e+01     -1.665621e+00      2.366956e-02   
     0.355027        1.968807e+01      2.100857e+01     -1.342009e+00      2.150386e-02   
     0.395559        1.393718e+01      1.498740e+01     -1.069405e+00      1.918427e-02   
     0.437721        9.864474e+00      1.068993e+01     -8.421990e-01      1.674364e-02   
     0.481399        6.997574e+00      7.637689e+00     -6.543475e-01      1.423287e-02   
     0.526474        4.983904e+00      5.472218e+00     -5.000330e-01      1.171906e-02   
     0.572826        3.568688e+00      3.933421e+00     -3.740164e-01      9.283156e-03   
     0.620330        2.571487e+00      2.836223e+00     -2.717523e-01      7.015591e-03   
     0.668857        1.866017e+00      2.050402e+00     -1.893967e-01      5.011351e-03   
     0.718277        1.364443e+00      1.484820e+00     -1.237400e-01      3.363402e-03   
     0.768456        1.005811e+00      1.075774e+00     -7.211910e-02      2.155357e-03   
     0.819260        7.478029e-01      7.786659e-01     -3.231633e-02      1.453313e-03   
     0.870551        5.609766e-01      5.621455e-01     -2.466870e-03      1.297929e-03   
     0.922191        4.247743e-01      4.040515e-01      1.902526e-02      1.697574e-03   
     0.974040        3.247807e-01      2.886010e-01      3.355583e-02      2.623830e-03   
     1.025960        2.508382e-01      2.044558e-01      4.237187e-02      4.010502e-03   
     1.077809        1.957526e-01      1.433898e-01      4.660579e-02      5.756982e-03   
     1.129449        1.544008e-01      9.937248e-02      4.729217e-02      7.736154e-03   
     1.180740        1.231148e-01      6.793857e-02      4.537007e-02      9.806200e-03   
     1.231544        9.925374e-02      4.575404e-02      4.167499e-02      1.182471e-02   
     1.281723        8.090547e-02      3.031638e-02      3.692609e-02      1.366300e-02   
     1.331143        6.667797e-02      1.974542e-02      3.171427e-02      1.521828e-02   
     1.379670        5.555206e-02      1.263448e-02      2.649583e-02      1.642175e-02   
     1.427174        4.677733e-02      7.941146e-03      2.159466e-02      1.724153e-02   
     1.473526        3.979810e-02      4.904129e-03      1.721345e-02      1.768052e-02   
     1.518601        3.420051e-02      2.977877e-03      1.345243e-02      1.777020e-02   
     1.562279        2.967449e-02      1.780047e-03      1.033252e-02      1.756193e-02   
     1.604441        2.598639e-02      1.049183e-03      7.819423e-03      1.711778e-02   
     1.644973        2.295899e-02      6.110553e-04      5.845736e-03      1.650220e-02   
     1.683766        2.045713e-02      3.525562e-04      4.328897e-03      1.577568e-02   
     1.720717        1.837700e-02      2.021113e-04      3.184268e-03      1.499062e-02   
     1.755724        1.663841e-02      1.155165e-04      2.333437e-03      1.418945e-02   
     1.788694        1.517901e-02      6.607558e-05      1.708572e-03      1.340436e-02   
     1.819538        1.395005e-02      3.798466e-05      1.253874e-03      1.265819e-02   
     1.848172        1.291317e-02      2.204716e-05      9.251879e-04      1.196594e-02   
     1.874520        1.203806e-02      1.298592e-05      6.886232e-04      1.133645e-02   
     1.898510        1.130063e-02      7.805095e-06      5.187857e-04      1.077404e-02   
     1.920078        1.068173e-02      4.816289e-06      3.970084e-04      1.027991e-02   
     1.939166        1.016610e-02      3.071663e-06      3.097775e-04      9.853252e-03   
     1.955722        9.741596e-03      2.039462e-06      2.474306e-04      9.492126e-03   
     1.969702        9.398632e-03      1.420736e-06      2.031369e-04      9.194074e-03   
     1.981067        9.129730e-03      1.046794e-06      1.721262e-04      8.956557e-03   
     1.989788        8.929200e-03      8.222088e-07      1.511262e-04      8.777251e-03   
     1.995841        8.792890e-03      6.933439e-07      1.379653e-04      8.654231e-03   
     1.999210        8.718001e-03      6.311395e-07      1.313004e-04      8.586070e-03   
     2.003160        8.631121e-03      5.530477e-07      1.218905e-04      8.508678e-03   
     2.016638        8.341708e-03      3.530543e-07      9.516326e-05      8.246192e-03   
     2.040848        7.848113e-03      1.469102e-07      5.919488e-05      7.788771e-03   
     2.075731        7.191598e-03      3.028074e-08      2.573187e-05      7.165836e-03   
     2.121193        6.422317e-03      3.863990e-10      3.093899e-06      6.419222e-03   
     2.177111        5.592012e-03      3.890183e-09     -6.847772e-06      5.598855e-03   
     2.243335        4.748122e-03      5.971129e-09     -7.677972e-06      4.755794e-03   
     2.319686        3.930091e-03      3.230303e-09     -4.772635e-06      3.934860e-03   
     2.405959        3.167886e-03      8.786305e-10     -1.952875e-06      3.169838e-03   
     2.501920        2.482170e-03      1.199186e-10     -4.793531e-07      2.482650e-03   
     2.607312        1.885360e-03      6.873832e-12     -2.489572e-08      1.885385e-03   
     2.721850        1.382940e-03      2.155006e-13      2.839553e-08      1.382911e-03   
     2.845225        9.746954e-04      3.618808e-14      1.055014e-08      9.746848e-04   
     2.977105        6.557747e-04      2.203958e-15      1.543780e-09      6.557731e-04   
     3.117134        4.176619e-04      1.076089e-17      3.816673e-11      4.176619e-04   
     3.264935        2.491769e-04      7.896255e-19     -1.362806e-11      2.491769e-04   
     3.420109        1.375600e-04      3.560067e-20     -8.411344e-13      1.375600e-04   
     3.582238        6.961733e-05      5.285393e-23      4.603608e-14      6.961733e-05   
     3.750884        3.282191e-05      1.320005e-24     -6.089979e-16      3.282191e-05   
     3.925594        1.623446e-05      7.127092e-27     -4.271358e-16      1.623446e-05   
     4.105897        1.112059e-05      5.543556e-31     -3.826600e-19      1.112059e-05   
     4.291305        1.119837e-05      1.629487e-32      5.353423e-19      1.119837e-05   
     4.481320        1.252513e-05      1.281316e-32     -4.805050e-20      1.252513e-05   
     4.675429        1.310346e-05      2.077436e-33      2.890190e-20      1.310346e-05   
     4.873108        1.233134e-05      6.366262e-34      1.475781e-19      1.233134e-05   
     5.073826        1.043028e-05      3.954383e-32      1.172320e-18      1.043028e-05   
     5.277040        7.960367e-06      5.268015e-33      3.301053e-19      7.960367e-06   
     5.482203        5.484211e-06      4.612730e-33      2.120116e-19      5.484211e-06   
     5.688763        3.391380e-06      3.926514e-32     -6.375118e-19      3.391380e-06   
     5.896161        1.854618e-06      2.103351e-33     -1.016486e-19      1.854618e-06   
     6.103839        8.692084e-07      2.157522e-32     -2.624367e-19      8.692084e-07   
     6.311237        3.260163e-07      1.114022e-32      9.687128e-20      3.260163e-07   
     6.517797        8.154990e-08      4.157980e-35      3.269341e-21      8.154990e-08   
     6.722960        5.998877e-09      1.112035e-33      4.229582e-21      5.998877e-09   
     6.926174        5.620948e-09      6.133359e-33     -9.224534e-21      5.620948e-09   
     7.126892        2.525583e-08      2.397001e-33      2.031479e-21      2.525583e-08   
     7.324571        3.991967e-08      1.632413e-33     -1.557329e-20      3.991967e-08   
     7.518680        4.327504e-08      5.906085e-34     -3.550270e-21      4.327504e-08   
     7.708695        3.774724e-08      6.477558e-33      3.123676e-20      3.774724e-08   
     7.894103        2.808609e-08      4.329363e-33      2.201797e-20      2.808609e-08   
     8.074406        1.820263e-08      2.473074e-33      3.449329e-24      1.820263e-08   
     8.249116        1.025384e-08      1.153145e-33     -5.748948e-21      1.025384e-08   
     8.417762        4.880877e-09      1.263880e-32     -7.607974e-21      4.880877e-09   
     8.579891        1.811888e-09      3.652085e-33     -5.124122e-21      1.811888e-09   
     8.735065        4.099588e-10      9.229952e-34      9.290441e-22      4.099588e-10   
     8.882866        2.291795e-11      1.644758e-33     -1.748174e-22      2.291795e-11   
     9.022895        1.435592e-10      1.940510e-33      9.975231e-22      1.435592e-10   
     9.154775        4.434974e-10      1.489046e-33      1.284742e-21      4.434974e-10   
     9.278150        7.444753e-10      5.213879e-33      3.752151e-21      7.444753e-10   
     9.392688        9.709937e-10      9.887365e-33      5.938084e-21      9.709937e-10   
     9.498080        1.107068e-09      4.906338e-33      3.563484e-21      1.107068e-09   
     9.594041        1.165114e-09      5.963126e-32     -1.117685e-20      1.165114e-09   
     9.680314        1.167018e-09      6.993052e-29     -4.429937e-19      1.167018e-09   
     9.756665        1.134408e-09      4.400511e-26     -1.080628e-17      1.134408e-09   
     9.822889        1.084740e-09      1.176180e-23     -1.688773e-16      1.084740e-09   
     9.878807        1.030535e-09      7.247721e-22     -1.261605e-15      1.030536e-09   
     9.924269        9.800258e-10      1.208157e-20     -4.931125e-15      9.800308e-10   
     9.959152        9.382379e-10      9.984706e-20     -1.372157e-14      9.382517e-10   
     9.983362        9.080190e-10      9.527800e-19     -4.171295e-14      9.080607e-10   
     9.996840        8.908425e-10      6.326466e-16     -1.239223e-12      8.920811e-10   
