#        q          3S1-3S1 init.     3S1-3D1 init.     3D1-3D1 init.      3S1-3S1 SRG       3S1-3D1 SRG       3D1-3D1 SRG    

     0.000790         100.000000         0.000000          0.000000         99.662334          0.337381          0.000286     
     0.004159         100.000000         0.000000          0.000000         99.662230          0.337485          0.000286     
     0.010212         100.000000         0.000000          0.000000         99.661707          0.338006          0.000287     
     0.018933         99.999997          0.000000          0.000003         99.660186          0.339521          0.000292     
     0.030298         99.999979          0.000000          0.000021         99.656837          0.342847          0.000316     
     0.044278         99.999904          0.000000          0.000096         99.650569          0.349028          0.000402     
     0.060834         99.999656          0.000000          0.000344         99.640019          0.359313          0.000668     
     0.079922         99.998977          0.000000          0.001023         99.623510          0.375113          0.001376     
     0.101490         99.997344          0.000000          0.002656         99.598992          0.397954          0.003054     
     0.125480         99.993807          0.000000          0.006193         99.563938          0.429406          0.006656     
     0.151828         99.986766          0.000000          0.013234         99.515223          0.470993          0.013784     
     0.180462         99.973675          0.000000          0.026325         99.448934          0.524086          0.026981     
     0.211306         99.950702          0.000000          0.049298         99.360177          0.589767          0.050057     
     0.244276         99.912351          0.000000          0.087649         99.242874          0.668682          0.088445     
     0.279283         99.851043          0.000000          0.148957         99.089575          0.760858          0.149568     
     0.316234         99.756695          0.000000          0.243305         98.891349          0.865491          0.243159     
     0.355027         99.616333          0.000000          0.383667         98.637852          0.980664          0.381484     
     0.395559         99.413753          0.000000          0.586247         98.317666          1.102966          0.579367     
     0.437721         99.129298          0.000000          0.870702         97.919102          1.226950          0.853948     
     0.481399         98.739754          0.000000          1.260246         97.431592          1.344352          1.224056     
     0.526474         98.218439          0.000000          1.781561         96.847884          1.442991          1.709125     
     0.572826         97.535508          0.000000          2.464492         96.167127          1.505260          2.327613     
     0.620330         96.658528          0.000000          3.341472         95.398850          1.506176          3.094974     
     0.668857         95.553372          0.000000          4.446628         94.567653          1.410985          4.021362     
     0.718277         94.185472          0.000000          5.814528         93.718234          1.172401          5.109365     
     0.768456         92.521462          0.000000          7.478538         92.920237          0.727642          6.352120     
     0.819260         90.531205          0.000000          9.468795         92.263960          0.004613          7.731427     
     0.870551         88.190161          0.000000         11.809839         89.880274          1.102150          9.017576     
     0.922191         85.481951          0.000000         14.518049         87.166055          2.620533         10.213412     
     0.974040         82.400933          0.000000         17.599067         84.181846          4.602710         11.215444     
     1.025960         78.954471          0.000000         21.045529         81.030847          7.049084         11.920069     
     1.077809         75.164569          0.000000         24.835431         77.861563          9.898830         12.239608     
     1.129449         71.068489          0.000000         28.931511         74.863262         13.017745         12.118993     
     1.180740         66.718096          0.000000         33.281904         72.252593         16.198442         11.548964     
     1.231544         62.177796          0.000000         37.822204         70.251056         19.177203         10.571742     
     1.281723         57.521163          0.000000         42.478837         69.056023         21.667387          9.276591     
     1.331143         52.826594          0.000000         47.173406         68.810791         23.403570          7.785640     
     1.379670         48.172507          0.000000         51.827493         69.580498         24.186270          6.233232     
     1.427174         43.632672          0.000000         56.367328         71.340059         23.915797          4.744144     
     1.473526         39.272250          0.000000         60.727750         73.977530         22.606398          3.416072     
     1.518601         35.144921          0.000000         64.855079         77.311928         20.378052          2.310021     
     1.562279         31.291311          0.000000         68.708689         81.120953         17.429630          1.449417     
     1.604441         27.738681          0.000000         72.261319         85.171830         14.001933          0.826237     
     1.644973         24.501672          0.000000         75.498328         89.248832         10.340195          0.410974     
     1.683766         21.583829          0.000000         78.416171         93.172972          6.663828          0.163201     
     1.720717         18.979563          0.000000         81.020437         96.812148          3.147461          0.040391     
     1.755724         16.676266          0.000000         83.323734         99.909842          0.086282          0.003876     
     1.788694         14.656371          0.000000         85.343629         97.179735          2.799526          0.020739     
     1.819538         12.899188          0.000000         87.100812         95.013738          4.922493          0.063769     
     1.848172         11.382456          0.000000         88.617544         93.308139          6.575974          0.115887     
     1.874520         10.083582          0.000000         89.916418         91.973301          7.858788          0.167911     
     1.898510          8.980583          0.000000         91.019417         90.934637          8.850032          0.215332     
     1.920078          8.052765          0.000000         91.947235         90.131429          9.612269          0.256302     
     1.939166          7.281191          0.000000         92.718809         89.514998         10.194587          0.290414     
     1.955722          6.648981          0.000000         93.351019         89.046787         10.635236          0.317977     
     1.969702          6.141490          0.000000         93.858510         88.696658         10.963741          0.339600     
     1.981067          5.746399          0.000000         94.253601         88.441458         11.202581          0.355961     
     1.989788          5.453747          0.000000         94.546253         88.263869         11.368451          0.367680     
     1.995841          5.255937          0.000000         94.744063         88.151526         11.473215          0.375259     
     1.999210          5.147682          0.000000         94.852318         88.096413         11.524540          0.379047     
     2.003160          5.022493          0.000000         94.977507         87.997135         11.617111          0.385753     
     2.016638          4.608881          0.000000         95.391119         87.721829         11.873229          0.404942     
     2.040848          3.917905          0.000000         96.082095         87.338753         12.228035          0.433213     
